ssn	job	company	mail	address	name	birthdate	username	current_location	registration	blood_group	user_id	station_ID
086-06-5491		Haering GmbH	sevimplath@gmx.de	"Süleyman-Werner-Ring 91-61
69093 Wolmirstedt"	Univ.Prof. Claus-Peter Wesack	1984-03-25	clemenskohl	(Decimal('27.463183'), Decimal('104.043674'))	08 Jul 2021	B-	189	465
749-72-1603	Field trials officer	Howard-Cohen	rhendricks@yahoo.com	"2763 George Shores
Elizabethfurt, NJ 14226"	Alex Goodman		tyronepham	(Decimal('52.0292715'), Decimal('97.461538'))	2019-05-10	AB-	304	634
479-81-2171	Patent examiner	Ingram-Wong	davidbutler@gmail.com	"42120 Amanda Stream Suite 154
Bradleyshire, IN 48835"	Jeremy Clark		stephanie29	(Decimal('71.800001'), Decimal('-62.256097'))	07/24/2025, 00:00:00	AB-	482	55
081-42-1817	歯科医師	株式会社橋本情報	asukakato@gmail.com	京都府西多摩郡奥多摩町日本堤8丁目24番5号	高橋 直人		yuiwatanabe	(Decimal('-72.2122585'), Decimal('-22.108798'))	15 May 2024	O+	1166	343
111-60-6917		有限会社鈴木ガス	syoshida@yahoo.com	宮城県杉並区前弥六8丁目22番7号 京橋ハイツ367	鈴木 翼	2000-01-11	imaeda	(Decimal('-71.2006795'), Decimal('-55.816112'))	01/28/2025, 00:00:00	AB-	1483	143
741-79-3826		Hettner	magda07@web.de	"Ida-Mende-Ring 8404
40103 Dachau"	Univ.Prof. Georg Harloff MBA.	2007-09-24	hermighausenraphaela	(Decimal('-59.751988'), Decimal('61.126285'))	2020-06-27	A-	455	617
BBTNNN67C57H334G		Pavanello Group	toniabembo@live.com	"Via Lorenzo, 6 Piano 0
54023, Cantiere (MS)"	Stefano Barcaccia	1944-09-01	tamborinivalerio	(Decimal('5.7576765'), Decimal('-46.436266'))	04 Jan 2025	O-	28	749
920-42-4286	Informatiker	Barth AG	lheuser@googlemail.com	"Hendriksgasse 3575
26529 Holzminden"	Prof. Magrit Kuhl B.Sc.		gfranke	(Decimal('28.922259'), Decimal('97.672179'))	09/25/2024, 00:00:00	B-	776	571
058-46-8104	Surveyor, minerals	Webb-Wong	taylorheather@gmail.com	"2651 Carrie Knoll Apt. 713
New Brianchester, VI 50046"	James Cooper	1927-02-22	joy57	(Decimal('69.8445685'), Decimal('65.415756'))	07 Mar 2020	B+	267	41
STRCML51L26C421O	Health and safety inspector	Pagnotto-Rocca e figli	raffaellabasadonna@fastwebnet.it	"Vicolo Tonia, 43
23100, Faedo (SO)"	Fulvio Gradenigo-Vigliotti		ubertodoglioni	(Decimal('-30.5708185'), Decimal('-15.568939'))	2023-02-27	AB-	832	12
PMTMRN04S57F912D		Frescobaldi s.r.l.	angelicaloredan@gmail.com		Guarino Mancini	1947-07-08	qseddio	(Decimal('43.285056'), Decimal('-100.876456'))	2021-09-05	A+	1692	578
225-84-6547		合同会社村上建設	ryohei71@yahoo.com	山梨県荒川区鶴ヶ丘13丁目9番5号	前田 亮介	1941-11-14	kumiko84	(Decimal('-37.7292275'), Decimal('-115.366143'))	11 Oct 2020	O+	108	83
549-66-6263		Smith-Rice	shelly39@yahoo.com		Benjamin Moreno		rodriguezmichael	(Decimal('-33.032358'), Decimal('102.899344'))	2022-10-29	A-	1226	538
RCCGRN06B22B744J	Estate manager/land agent	Cabibbo-Renier e figli	rensimarisa@live.com	"Strada Schiavone, 99 Piano 0
37038, Castelletto (VR)"	Erika Orengo		gionata55		07/15/2025, 00:00:00	AB-	1665	359
090-30-7989	農家	合同会社木村電気	atsushiwatanabe@gmail.com	青森県東久留米市幸手4丁目6番2号	山下 幹	1992-09-22	yasuhiro32	(Decimal('-48.404157'), Decimal('122.871803'))	17 Jan 2023	B-	1682	244
441-45-1580		Börner Bohlander e.G.	lieselniemeier@googlemail.com	"Elena-Karge-Gasse 4-4
53730 Neustadt am Rübenberge"	Armin Matthäi		sylvana35		22 Oct 2018	A+	1608	344
BRSMRA51P11G570Q	Engineer, biomedical	Poerio, Venturi e Mortati e figli	vcendron@gmail.com	"Vicolo Udinesi, 648 Piano 9
10123, Torino (TO)"	Irma Modugno	2022-12-07	oraziozacco	(Decimal('37.120068'), Decimal('137.151026'))	2024-10-01	AB-	1619	712
37198205488	Sushiman	Jesus	daniela55@uol.com.br	"Rua Fonseca, 79
Itatiaia
64171531 Martins / AL"	Caio da Rosa	1925-03-14	da-luztheo	(Decimal('62.9289215'), Decimal('58.058599'))	11/22/2023, 00:00:00	B-	379	712
309-63-3666	Heritage manager	Lucas-Bradley	victoriabutler@yahoo.com		William Mills		marieluna	(Decimal('-24.778608'), Decimal('-69.126279'))	09 Nov 2020	B-	727	386
847-15-6605	ゲームクリエイター	山田鉱業合同会社	yasuhiro22@hotmail.com	山梨県目黒区猿楽町30丁目18番19号 パーク元浅草202	森 香織	1941-10-03	yoko04	(Decimal('14.295463'), Decimal('-88.435200'))	08 Mar 2021	O-	962	328
398-13-0512	Pfleger	Lehmann	joseffroehlich@web.de	"Hertrampfgasse 86/55
85026 Hohenstein-Ernstthal"	Agatha Salz		hans-henningscheel	(Decimal('8.199423'), Decimal('142.086989'))	2024/04/17	B+	274	290
312-72-9716	建築家	斎藤農林合同会社	hideki91@gmail.com	青森県長生郡白子町月島37丁目8番7号	中島 涼平		harukaito	(Decimal('-1.2993655'), Decimal('13.419018'))	2024/03/09	A+	251	455
61075843235		Caldeira	kazevedo@bol.com.br	"Colônia de Fogaça, 88
Itatiaia
42323540 Fogaça / PR"	Ana Beatriz Novais		josue23	(Decimal('-21.2247705'), Decimal('-173.627310'))	2019-10-28	O+	36	294
CEOGNG63L49B230F		Orlando SPA	pellicopietro@gmail.com	"Viale Michelangeli, 5 Appartamento 47
16048, Cabanne (GE)"	Francesca Murri	1988-05-14	cabibbougo	(Decimal('-0.154595'), Decimal('146.063994'))	2022/09/25	O+	795	245
101-80-1138	Hotel manager	Morris Group	ncarlson@gmail.com	"0694 Aaron Cliffs Apt. 823
Lake Jessicafort, FM 71143"	Jason Christian		johnporter	(Decimal('-31.1879225'), Decimal('10.949103'))	08/13/2025, 00:00:00	B-	1167	621
892-97-2605		Etzold Cichorius GmbH	magareteliebelt@yahoo.de	"Köhlerplatz 5/4
56412 Oschatz"	Marina Kramer	1988-03-26	grein-grothimelda	(Decimal('68.263760'), Decimal('-47.900096'))	2023-08-03	AB+	1081	621
281-43-7582		株式会社佐々木ガス	hiroshi33@hotmail.com	大分県横浜市都筑区外国府間4丁目19番8号	高橋 桃子	1973-10-12	naoki31	(Decimal('-3.2145685'), Decimal('112.359942'))	2021/11/11	AB-	1788	492
LTRNGN09B14I911S		Polesel SPA	anichinidolores@libero.it	"Borgo Pulci, 36
20050, Liscate (MI)"	Graziella Govoni		vivianiroman	(Decimal('65.8233255'), Decimal('36.844394'))	16 May 2020	B+	831	689
SSMLVI28T70D860L	Lexicographer	Dallara, Sonnino e Trupiano s.r.l.	raffaellinoudinese@gmail.com	"Viale Stefania, 30 Appartamento 1
63093, Agelli (AP)"	Maurilio Foscari		idacasaleggio	(Decimal('68.7489315'), Decimal('60.897665'))	2025-06-23	O+	1177	751
727-03-9222		Hayes-Carter	mdixon@yahoo.com	"425 Hannah Village Suite 715
Rojashaven, KY 14130"	Peter Frazier		ncasey	(Decimal('-11.113498'), Decimal('16.341099'))	2019-01-20	AB+	257	118
91754803601		Marques	acavalcanti@hotmail.com	"Praça Rodrigues, 772
São Sebastião
30005-742 Silva dos Dourados / MT"	Ian Montenegro		da-conceicaolavinia	(Decimal('24.1632435'), Decimal('-59.313794'))	10/26/2024, 00:00:00	A+	1040	176
943-26-0148		Wähner AG	stephen98@gmx.de	"Margrit-Schlosser-Ring 2/7
04882 Wittenberg"	Dipl.-Ing. Fritz Reichmann		nellylorch	(Decimal('-40.484350'), Decimal('62.248314'))	2020/07/03	A-	1671	403
261-75-0066		Compton and Sons	awells@yahoo.com		Nicole Ramirez	2011-08-27	matthew40	(Decimal('-15.512009'), Decimal('156.537895'))	2024/09/23	AB-	79	689
555-25-9751	モデル	合同会社藤田鉱業	takahashiakemi@gmail.com	福井県台東区脚折36丁目3番5号 西川ハイツ735	佐藤 晃	1930-03-12	tanakamanabu	(Decimal('-31.6352655'), Decimal('-84.323029'))	08/22/2021, 00:00:00	A+	1172	432
593-43-0631		有限会社加藤食品	chiyosato@yahoo.com	香川県渋谷区轟27丁目8番11号 中川崎シティ052	橋本 裕美子	1952-09-04	kaori16	(Decimal('-55.4124735'), Decimal('70.243282'))	08/08/2022, 00:00:00	B+	276	18
225-51-2612		石井水産株式会社	yuki09@hotmail.com	青森県山武郡芝山町脚折2丁目10番20号	山本 学		ogawatsubasa	(Decimal('80.1274425'), Decimal('70.975952'))	2019-06-28	B-	1228	590
53617098401		Campos	bruno62@hotmail.com	"Alameda de Machado, 779
Santa Isabel
58282773 Camargo de Aragão / BA"	Alícia Garcia		ccosta	(Decimal('28.5663695'), Decimal('-44.392124'))	27 May 2020	AB-	1944	332
293-93-0435		Scholtz GmbH	rullmann@googlemail.com	"Isidor-Kensy-Allee 1598
27830 Rathenow"	Augusta Neureuther-Renner	1955-04-13	astaklapp	(Decimal('25.3921625'), Decimal('-14.675681'))	2021-10-25	A+	1523	207
482-33-9145		Junitz Adler Stiftung & Co. KGaA	lachmannjan@gmail.com	"Eimerstraße 22/37
96506 Germersheim"	Petros Cichorius		luitgard60	(Decimal('79.5611755'), Decimal('-107.170506'))	2018/10/11	B+	13	160
BLTLND31M69G019L	Mechanical engineer	Ficino-Salandra e figli	jbaresi@virgilio.it	"Vicolo Catenazzi, 30 Piano 7
73037, Vaste (LE)"	Adele Sollima	1995-11-12	beppecagnotto	(Decimal('-59.962177'), Decimal('-89.458431'))	08 Feb 2020	A-	1133	574
506-82-3390	Erzieher	Mitschke GmbH & Co. OHG	girschnerhakan@gmx.de	"Katharine-Pieper-Ring 9-1
20350 Neustadt am Rübenberge"	Prof. Antje Holsten	1952-05-29	schulzbernadette	(Decimal('77.9086135'), Decimal('-21.318876'))	2024-01-17	B+	1806	147
822-28-8961		有限会社伊藤印刷	eito@hotmail.com	静岡県横浜市泉区元浅草7丁目16番12号 京橋コート186	小林 千代	2025-06-07	manabuokada	(Decimal('9.2868875'), Decimal('47.873050'))	2023-02-04	O-	908	40
26107543961		Pereira	dda-rosa@bol.com.br		Asafe Sales		helenafogaca	(Decimal('-70.570778'), Decimal('175.397121'))	05/07/2020, 00:00:00	O-	1867	176
062-66-7285		青木鉱業有限会社	okadasotaro@gmail.com	青森県山武郡横芝光町平須賀19丁目6番15号	山下 春香	1976-05-29	yuta03	(Decimal('-49.3373255'), Decimal('-82.905180'))	2021/04/06	A-	1815	590
ZTTNCL90H53D006Y		Cuzzocrea-Gangemi SPA	vsauli@tele2.it	"Canale Raffaello, 41
25048, Cortenedolo (BS)"	Natalia Vittadello	2014-12-15	carpacciofausto	(Decimal('30.9045565'), Decimal('-90.476851'))	2021/06/11	B-	2071	626
57193602470		Rodrigues Cavalcante - ME	eduarda50@hotmail.com		Gustavo Henrique Duarte	1913-12-24	theodoroda-rocha	(Decimal('-17.673938'), Decimal('-105.097713'))	2023/05/30	AB-	1915	261
314-89-3772	Erzieher	Staude AG & Co. OHG	betinatintzmann@gmail.com	"Benita-Binner-Gasse 3-6
45620 Stuttgart"	Waltraud Johann-Steuer		dsorgatz	(Decimal('64.719338'), Decimal('13.581954'))	05/17/2022, 00:00:00	A-	1506	157
330-83-4280		有限会社田中農林	mituruyamamoto@yahoo.com		高橋 真綾		reiyamashita	(Decimal('-31.8989235'), Decimal('163.525131'))	2024-06-04	O+	1504	298
403-56-9616		Kostolzin	fsoeding@gmail.com	"Netteallee 21
92771 Steinfurt"	Ulrich Gorlitz		hessstavros	(Decimal('-71.512561'), Decimal('-100.808263'))	08/21/2025, 00:00:00	O+	1295	435
603-43-4964		Trüb	annett70@hotmail.de	"Lea-Wulf-Straße 626
92481 Augsburg"	Selma Wulff MBA.	1947-04-02	uboucsein		2023/06/14	AB-	1267	599
205-88-2458	司法書士	有限会社松本情報	rnakajima@gmail.com	宮崎県文京区白金15丁目12番7号 虎ノ門コート816	中川 知実	1991-06-05	sotaro20	(Decimal('-19.3383995'), Decimal('-138.864789'))	11 Apr 2021	B+	1957	466
467-90-4306	アイドル	佐藤食品株式会社	yamamotomiki@hotmail.com	福井県多摩市戸島10丁目12番10号 白金コート389	近藤 あすか	1935-11-08	mikifujii	(Decimal('-37.209094'), Decimal('169.465123'))	2024-07-01	O+	777	778
TRCDIA48T14I445D		Borghese, Marino e Delle Group	zbroggini@libero.it	"Via Ranieri, 312 Piano 6
55020, Molazzana (LU)"	Ippazio Guidone-Ammaniti	1911-07-01	umberto86	(Decimal('-18.954418'), Decimal('-131.903859'))	26 Jun 2021	AB+	1591	9
323-58-0719		Pohl e.V.	scheuermanncindy@gmail.com	"Reisingstraße 29
82133 Bruchsal"	Margarete Bachmann	1947-09-14	freudenbergerknut	(Decimal('57.527192'), Decimal('-64.677385'))	01 Nov 2019	B-	2108	384
BRNGRL10C31E625A		Bernetti e figli	boccaetta@fastwebnet.it	"Rotonda Melissa, 199
82037, Castelvenere (BN)"	Ivo Donini		gabriella68	(Decimal('-48.527214'), Decimal('56.916025'))	2021-09-27	AB+	1802	399
559-03-8151		Foster Inc	travis05@hotmail.com	"5805 Smith Knolls Suite 685
Jeremyfort, FM 13706"	Kelly Jackson	1953-06-15	danielgarcia	(Decimal('-28.511093'), Decimal('-174.651438'))	28 May 2025	A+	1614	478
PGNDNL82R55B228H	Site engineer	Parisi Group	miloaporti@alice.it	"Incrocio Guarato, 999 Appartamento 2
21053, Castellanza (VA)"	Margherita Tarchetti		flaianodonatella	(Decimal('42.214340'), Decimal('-131.597719'))	2022/03/19	B+	1421	595
63214095706	Lamboteiro	Lopes Ltda.	brunaribeiro@uol.com.br	"Praça de Pimenta, 95
Vista Do Sol
98324589 Machado de Peixoto / MG"	Ravi Pimenta		allanarezende	(Decimal('34.5137785'), Decimal('-169.794288'))	22 Aug 2023	B+	269	552
VGLBLD66A71L182D		Antonello Group	rosariocanetta@yahoo.com	"Canale Borsellino, 5 Appartamento 80
60030, Castelbellino (AN)"	Stefania Barzini	1966-06-03	rapisardiamleto	(Decimal('78.8182055'), Decimal('-55.208371'))	2024/08/22	AB-	1706	536
40716239850		Rocha	isaac26@bol.com.br	"Vale de Albuquerque, 847
Camponesa 2ª Seção
74358388 Nogueira do Sul / MS"	Luiz Miguel Casa Grande	1933-05-02	duartelais	(Decimal('-31.8745185'), Decimal('51.184951'))	2021-07-01	O-	152	78
199-20-1999		福田情報株式会社	itohiroshi@yahoo.com	新潟県横浜市瀬谷区港南17丁目19番7号 クレスト土呂部257	山本 桃子	1924-05-14	okadayosuke	(Decimal('67.516199'), Decimal('75.920871'))	2024/01/31	B+	1378	311
536-54-8250		Jackson, Frederick and Soto	manuel19@yahoo.com	"3922 Mack Row Apt. 200
West Stephen, AK 63057"	Ashley Huynh	1996-11-19	erika50	(Decimal('6.706384'), Decimal('155.559751'))	2019-10-04	B+	469	223
12709834588		Guerra Ltda.	isadora84@gmail.com	"Rodovia Olivia Martins, 77
Rio Branco
73856641 Silveira / PA"	Srta. Maria Sophia Martins		hborges	(Decimal('-76.2282025'), Decimal('54.957738'))	2025/04/09	O+	1881	357
013-05-8510	Designer, textile	Bryant-Nguyen	ijones@gmail.com	"976 Mark Isle Suite 862
East Heatherland, MS 51269"	Nicholas Mcdonald	1915-02-08	bentonelizabeth	(Decimal('-9.998573'), Decimal('-62.361498'))	2024/10/16	A+	31	488
012-98-9331		合同会社小林農林	zkato@yahoo.com	岐阜県横浜市港南区松浦町21丁目26番1号 藤金コート221	後藤 裕太		yamadataichi	(Decimal('18.784514'), Decimal('120.569504'))	04/08/2020, 00:00:00	A+	2033	786
116-23-0699		Rodriguez PLC	billyromero@hotmail.com	"319 Villegas Ford
Olsonshire, NC 57798"	John Wilson	1913-12-01	cookrebekah	(Decimal('-8.5972075'), Decimal('153.465983'))	10/01/2022, 00:00:00	A-	1564	632
PRLGMM37T23I425Z		Brenna, Ravaglioli e Cortese s.r.l.	annunziataferraris@tiscali.it	"Vicolo Leonardo, 42
28886, Pieve Vergonte (VB)"	Pomponio Semitecolo-Ligorio	1990-07-11	antonellogilberto	(Decimal('-67.5672185'), Decimal('-30.812267'))	2021-05-19	O+	1786	42
513-37-1166		Tlustek Rose e.G.	herwigschenk@aol.de	"Vollbrechtallee 23
73556 Augsburg"	Henner Drubin		jurimatthaei	(Decimal('-36.105448'), Decimal('-50.738844'))	09 Apr 2023	A+	449	57
657-93-2978	経営者	株式会社山崎建設	dyamamoto@gmail.com	群馬県多摩市丸の内ＪＰタワー37丁目11番4号 轟シャルム858	鈴木 洋介		takumafujita	(Decimal('76.800738'), Decimal('-76.367887'))	2023/03/05	AB-	999	289
895-66-6672		株式会社加藤銀行	waoki@hotmail.com	滋賀県大網白里市橋場39丁目26番20号 アーバン丸の内ＪＰタワー722	西村 陽子		xnakamura	(Decimal('43.683257'), Decimal('-134.093178'))	08/31/2020, 00:00:00	AB+	557	102
845-22-0266	Set designer	Perez-Cooper	rwalker@yahoo.com		Cynthia Hill	1990-12-06	christopherchang	(Decimal('70.064236'), Decimal('-87.318512'))	03 Apr 2020	B+	372	112
54180329689		Almeida - ME	erodrigues@ig.com.br	"Rodovia Oliveira, 65
Juliana
80772338 Pires / PB"	Marcos Vinicius Castro		raulpeixoto	(Decimal('-89.539750'), Decimal('-26.956030'))	2021/09/05	O+	1718	146
393-40-7118		Trommler GmbH	felicia16@aol.de	"Nathalie-Ehlert-Gasse 98/57
62125 Bruchsal"	Rico Hölzenbecher		ietzler	(Decimal('73.0790245'), Decimal('-95.739072'))	2023-01-03	O-	194	283
741-04-1222	Fleischer	Weitzel Zirme AG & Co. KGaA	felicitas19@gmail.com	"Döringweg 86-23
47419 Teterow"	Yvonne Salz B.Eng.		antoniageisel	(Decimal('-8.7886135'), Decimal('-38.214877'))	05/15/2022, 00:00:00	O+	1191	454
767-91-4661	お笑い芸人	株式会社木村通信	jmatsumoto@gmail.com	岩手県横浜市泉区虎ノ門10丁目25番16号	加藤 花子		yui16	(Decimal('84.398058'), Decimal('54.020037'))	2019/02/01	A-	665	706
BLBPRD29H64A761C		Cignaroli-Tornatore SPA	luciano58@gmail.com	"Viale Lazzaro, 185
80065, Colli Di Fontanelle (NA)"	Ansaldo Bocca	1914-01-29	giuliagrifeo	(Decimal('-72.2255615'), Decimal('96.378279'))	12/03/2018, 00:00:00	B+	849	661
151-61-8099		Koch II	weckbauer@aol.de	"Athanasios-Hettner-Weg 8
87328 Lemgo"	Dipl.-Ing. Leonardo Hendriks		jpoelitz	(Decimal('8.3069985'), Decimal('54.059034'))	2019/05/01	AB-	941	346
578-47-9660		Heinz Christoph GmbH	gregor03@googlemail.com	"Eberthplatz 9-4
45556 Vilsbiburg"	Ing. Richard Döhn	1977-11-24	biggennurten	(Decimal('-69.312484'), Decimal('-129.665238'))	2025-06-02	AB+	23	408
800-10-9836		Savage, Long and Singleton	carrtiffany@hotmail.com	"73771 Reyes Hill Suite 168
Lake Peter, UT 63966"	Vernon Underwood	1916-10-13	bryanhawkins	(Decimal('4.951756'), Decimal('-32.070522'))	2023-09-10	B-	918	507
72804615901		Guerra	ycasa-grande@gmail.com	"Chácara de Sampaio, 3
Vila Jardim Alvorada
85325033 Pacheco Grande / SC"	Laura Ferreira		theo62	(Decimal('57.735328'), Decimal('117.284329'))	2019-12-31	B+	967	687
549-13-6362		Börner	peer07@gmail.com		Romana Schuster	1927-03-16	kriemhild02	(Decimal('47.342978'), Decimal('161.308418'))	2022-09-20	O-	500	426
08275139414		Gonçalves Santos - EI	zmonteiro@hotmail.com	"Morro de Costela, 945
Pompéia
83830746 Mendes / RS"	Guilherme Sá		enrico32	(Decimal('6.611047'), Decimal('90.551838'))	10 Feb 2023	A-	1017	506
010-76-9687		Santos Group	bellkristin@yahoo.com	"5510 Lewis Circles Suite 134
Martinezfurt, MO 98451"	Collin Townsend	1936-12-04	eparker	(Decimal('54.665964'), Decimal('7.530211'))	2024/12/10	B-	1895	311
CFFRMN96A26I851S		Montalcini, Castellitto e Abbagnale s.r.l.	goffredo26@outlook.com	"Rotonda Sabatino, 660 Piano 2
87041, San Giacomo D'Acri (CS)"	Fabio Prodi-Ferrucci	2023-07-07	pausiniraffaella	(Decimal('34.4822225'), Decimal('-16.474848'))	2023/08/10	AB+	371	446
344-99-7216	Arzt	Keudel Stiftung & Co. KG	langebetti@hotmail.de	"Bernard-Drub-Gasse 8224
83370 Bad Mergentheim"	Friedhilde Lindner	1973-11-29	mareike18	(Decimal('14.3741785'), Decimal('2.920968'))	2021-01-25	B-	232	186
420-54-8595		Kennedy-Shaw	kellysarah@yahoo.com	"585 Oliver Walks
Oconnorville, IN 26436"	Angela Cooper		nicoleyoung	(Decimal('71.9886625'), Decimal('168.256046'))	03 Oct 2018	O+	1281	334
108-23-3530		Brown-Leach	stephanie06@hotmail.com	"6462 Wood Creek Suite 965
Matthewsborough, PA 47923"	Kenneth Hart	1942-05-05	ycraig	(Decimal('-2.250486'), Decimal('-37.362086'))	2018/10/21	O+	433	424
458-85-0440		Pergande KG	huebelmichel@hotmail.de	"Wielochring 2-7
86664 Goslar"	Univ.Prof. Frederik Wagenknecht		zimmerwilhelm	(Decimal('-23.361697'), Decimal('-120.862304'))	2023-06-12	B-	462	317
697-93-4010		Kade	susanna09@googlemail.com	"Rosemannstraße 4
69445 Sankt Goarshausen"	Urs Jopich-Grein Groth		rroerricht	(Decimal('-29.1156955'), Decimal('146.767731'))	24 Oct 2021	A-	192	593
743-70-4047		佐藤通信有限会社	sayurihayashi@yahoo.com	京都府大田区渡辺37丁目17番14号 シティ長畑467	西村 七夏	1971-06-03	yamashitamai	(Decimal('-49.5459735'), Decimal('-159.900483'))	2024/10/03	AB-	605	181
111-26-3323	歯科医師	坂本ガス合同会社	tomoyasato@hotmail.com	鹿児島県板橋区戸塚町6丁目7番20号 柿木沢クレスト913	前田 篤司	1912-03-13	shota99	(Decimal('45.868681'), Decimal('-1.345698'))	2020/06/17	AB-	1908	348
80415236924		Araújo	guilherme88@ig.com.br	"Área Nina Lima, 78
Inconfidência
87973-197 Pinto / DF"	Yuri Abreu	1968-03-26	apollo45	(Decimal('89.009280'), Decimal('25.729833'))	03/13/2019, 00:00:00	AB-	1348	230
047-73-2268		合同会社山下運輸	katorei@gmail.com	宮崎県西多摩郡瑞穂町四番町33丁目7番16号 パーク卯の里890	藤田 桃子	1998-06-28	manabu47	(Decimal('-51.685882'), Decimal('-25.180840'))	2018/10/23	B-	809	724
879-64-7894		有限会社山崎情報	abenaoto@hotmail.com	滋賀県長生郡長生村土沢13丁目5番12号 パレス中小来川398	佐藤 明美	1978-09-06	hashimotomikako	(Decimal('13.9478365'), Decimal('-97.222526'))	11/19/2022, 00:00:00	O+	1708	216
87910523432		Teixeira e Filhos	hmarques@gmail.com	"Recanto Lima, 4
Vila Nossa Senhora Do Rosário
02831-179 Ferreira / AL"	Sra. Daniela Borges	1914-10-14	luiz-gustavolima	(Decimal('-3.2300895'), Decimal('-157.483407'))	11 Aug 2023	AB-	1049	765
NGLCTN40L23C665N		Capuana s.r.l.	gaglianolucio@libero.it	"Contrada Melissa, 83 Appartamento 8
89832, Acquaro (VV)"	Priscilla Collina	1992-01-05	omascagni	(Decimal('-53.5369965'), Decimal('168.754666'))	10/16/2023, 00:00:00	A+	1091	750
32986075410		Garcia Moura Ltda.	arthur-miguellopes@yahoo.com.br	"Lago Evelyn Pastor, 69
Conjunto Serra Verde
24986-595 Freitas / TO"	Daniela Silveira	1990-05-02	aylla53	(Decimal('-85.2965195'), Decimal('140.522062'))	10/01/2018, 00:00:00	O-	180	286
705-93-6776		株式会社田中情報	fsaito@gmail.com	滋賀県日野市渡辺4丁目8番19号 戸山パーク469	中村 裕美子		kazuyayoshida	(Decimal('13.2225795'), Decimal('-128.260044'))	26 Oct 2022	O+	936	328
SPNRSO20R26E811O	Armed forces technical officer	Antonucci e figli	zromiti@gmail.com	"Contrada Adelmo, 17
86025, Ripalimosani (CB)"	Sig.ra Federica Petrocelli		lucianobassi	(Decimal('87.1943305'), Decimal('85.854910'))	2023-09-26	AB-	644	497
544-99-4428		Scholz GbR	drubgerold@hotmail.de	"Gerolf-Kraus-Ring 39
37754 Groß-Gerau"	Antonie Stroh		gbeier	(Decimal('7.144711'), Decimal('133.837589'))	07/08/2024, 00:00:00	O-	63	531
316-29-7030		松田建設有限会社	kobayashikaori@gmail.com	和歌山県川崎市幸区虎ノ門虎ノ門ヒルズ森タワー40丁目16番1号 ハイツ麹町278	加藤 和也		hanako92	(Decimal('43.3151905'), Decimal('-67.894244'))	06/29/2020, 00:00:00	A-	618	254
659-71-4835		Crane-Miller	douglassharon@yahoo.com	"188 Patel Forks Suite 483
New Jenniferport, PR 47825"	John Miller	1968-10-26	monica52		05 Nov 2022	AB-	2067	262
724-36-4295		Schuster Schlosser GmbH & Co. KGaA	krokerfalko@gmx.de	"Willibert-Hermighausen-Allee 6
28146 Schwäbisch Hall"	Univ.Prof. Mathias Beckmann		schenkfrauke	(Decimal('-77.794236'), Decimal('61.259394'))	21 Dec 2022	O+	1881	155
776-58-8498		Fuller, Johnson and Lucas	ryan20@yahoo.com	"5055 Mcfarland Tunnel Apt. 432
Lake Connie, UT 73906"	Donna Sutton		curtis60	(Decimal('61.977258'), Decimal('-68.657056'))	17 May 2020	B+	1288	524
RCCFLV24H51H284B	Sports therapist	Anguissola Group	silvestro13@yahoo.com		Severino Regge	1910-03-06	gioacchino76	(Decimal('50.438886'), Decimal('55.504424'))	13 May 2024	A-	758	239
GRMDNI48C30C991J	Analytical chemist	Accardo e figli	francesca63@fastwebnet.it	"Stretto Pina, 47 Appartamento 6
84082, Manzi (SA)"	Girolamo Bombieri	1923-06-02	comissoadelmo	(Decimal('22.1564655'), Decimal('155.571755'))	15 Jul 2022	AB+	1449	254
957-84-1866		Schleich AG	schmiedtvaleria@gmx.de	"Hermannplatz 80
33833 Eutin"	Pedro Sauer B.A.		ahoerle	(Decimal('85.198748'), Decimal('-101.121838'))	08 Dec 2018	AB+	1948	259
PCADRT52C51C549X	Engineer, mining	Falier-Favata SPA	emercadante@virgilio.it	"Canale Greco, 75
46017, Cividale Mantovano (MN)"	Michele Borghese	2011-03-03	cvercelloni	(Decimal('34.2433445'), Decimal('-95.897038'))	12/08/2022, 00:00:00	A+	1461	775
NVNVNI78C66A162Q		Marcacci Group	erraniolga@libero.it		Carlo Chiesa	1922-07-01	angelo90	(Decimal('-59.397179'), Decimal('-49.291895'))	09/27/2019, 00:00:00	B+	200	662
822-17-1605	バスガイド	渡辺運輸株式会社	ogawatomoya@gmail.com	鹿児島県大島町雷門15丁目11番20号	坂本 あすか		nakagawaasuka	(Decimal('66.474664'), Decimal('148.996549'))	2025/08/27	A+	742	240
CRSRND37D58H240G		Travaglia-Modiano Group	quasimodoevangelista@live.com	"Stretto Angelica, 87
20835, Taccona (MB)"	Arsenio Desio		calcedonio77	(Decimal('15.3296135'), Decimal('169.447244'))	2023/09/15	AB-	1851	369
553-49-4700	調理師	合同会社高橋水産	reitakahashi@yahoo.com	石川県香取市小入20丁目8番5号	田中 洋介	1928-06-11	kumiko20	(Decimal('8.044253'), Decimal('-165.886965'))	2020-02-13	AB-	912	341
182-47-0877	Mechaniker	Gunpf	chantalweimer@aol.de		Roselinde Gehringer-Mühle		magdaleneullmann	(Decimal('-64.313761'), Decimal('-33.201211'))	07/21/2021, 00:00:00	O+	114	195
